[23/12/2024 22:15:54] !deposit
[23/12/2024 22:15:56] !deposit
[23/12/2024 22:16:01] !deposit all
[23/12/2024 22:16:11] !deposit 5000
[23/12/2024 22:16:18] !deposit tudo
[23/12/2024 22:16:59] !deposit 98919.18
[23/12/2024 22:17:25] !deposit 97929
[23/12/2024 22:17:46] !deposit 90000
[23/12/2024 22:17:47] !deposit 90000
[23/12/2024 22:17:48] !deposit 90000
[23/12/2024 22:17:49] !deposit 900000
[23/12/2024 22:18:04] !deposit 900000
[23/12/2024 22:18:07] !deposit 900000
[23/12/2024 22:18:08] !deposit 900000
[23/12/2024 22:18:09] !deposit 900000
[23/12/2024 22:18:10] !deposit 900000
[23/12/2024 22:18:11] !deposit 900000
[23/12/2024 22:18:12] !deposit 900000
[23/12/2024 22:18:13] !deposit 900000
[23/12/2024 22:18:14] !deposit 900000
[23/12/2024 22:18:15] !deposit 900000
[23/12/2024 22:18:15] !deposit 900000
[23/12/2024 22:18:17] !deposit 90000
[23/12/2024 22:18:19] !deposit 90000
[23/12/2024 22:18:33] !deposit 90000
[23/12/2024 22:18:34] !deposit 90000
[23/12/2024 22:18:35] !deposit 90000
[23/12/2024 22:18:35] !deposit 90000
[23/12/2024 22:18:39] !deposit 9000
[23/12/2024 22:18:40] !deposit 9000
[23/12/2024 22:18:41] !deposit 9000
[23/12/2024 22:18:41] !deposit 9000
[23/12/2024 22:18:42] !deposit 9000
[23/12/2024 22:18:42] !deposit 9000
[23/12/2024 22:18:43] !deposit 9000
[23/12/2024 22:18:44] !deposit 9000
[23/12/2024 22:18:48] !deposit 900
[23/12/2024 22:18:48] !deposit 900
[23/12/2024 22:18:49] !deposit 900
[23/12/2024 22:18:50] !deposit 90
[23/12/2024 22:18:52] !deposit 90
[23/12/2024 22:18:53] !deposit 90
[23/12/2024 22:18:55] !deposit 90
[23/12/2024 22:19:10] !withdraw 9896918
[27/12/2024 20:10:54] !balance
[27/12/2024 20:15:52] !deposit all
[27/12/2024 20:15:59] !deposit 9000000000000
[27/12/2024 20:16:02] !deposit 90000000000
[27/12/2024 20:16:03] !deposit 9000000000
[27/12/2024 20:16:04] !deposit 900000000
[27/12/2024 20:16:12] !deposit 500000000
[27/12/2024 20:16:14] !deposit 500000000
[27/12/2024 20:16:15] !deposit 500000000
[27/12/2024 20:16:19] !deposit 300000000
[31/12/2024 23:41:14] !deposit all
[31/12/2024 23:41:26] !deposit 7000000000
[31/12/2024 23:41:29] !deposit 700000000
[31/12/2024 23:41:33] !deposit 70000000
[31/12/2024 23:41:40] !deposit 70000000
[31/12/2024 23:41:41] !deposit 70000000
[31/12/2024 23:41:41] !deposit 70000000
[31/12/2024 23:41:42] !deposit 70000000
[31/12/2024 23:41:42] !deposit 70000000
[31/12/2024 23:41:43] !deposit 70000000
[31/12/2024 23:41:43] !deposit 70000000
[31/12/2024 23:41:44] !deposit 70000000
[31/12/2024 23:41:45] !deposit 70000000
[31/12/2024 23:41:45] !deposit 70000000
[31/12/2024 23:41:47] !deposit 7000000
[31/12/2024 23:41:49] !deposit 700000
[31/12/2024 23:41:50] !deposit 70000
[31/12/2024 23:41:52] !deposit 7000
[31/12/2024 23:42:04] !deposit 140780
[31/12/2024 23:42:09] !deposit 710
[31/12/2024 23:42:17] !deposit 6400
[31/12/2024 23:42:22] !deposit 500
[31/12/2024 23:42:24] !deposit 50
[31/12/2024 23:42:29] !deposit 500
[31/12/2024 23:42:33] !deposit 5
[31/12/2024 23:45:26] !withdraw 2000224895
[31/12/2024 23:45:31] !withdraw 2000224
[31/12/2024 23:45:32] !withdraw 2000224
[31/12/2024 23:45:33] !withdraw 2000224
[31/12/2024 23:45:34] !withdraw 2000224
[31/12/2024 23:45:43] !withdraw 200022400
[31/12/2024 23:45:49] !withdraw 200022400
[31/12/2024 23:45:50] !withdraw 200022400
[31/12/2024 23:45:51] !withdraw 200022400
[31/12/2024 23:45:51] !withdraw 200022400
[31/12/2024 23:45:52] !withdraw 200022400
[31/12/2024 23:45:52] !withdraw 200022400
[31/12/2024 23:46:31] !withdraw 200022400
[31/12/2024 23:46:42] !withdraw 200022400
[31/12/2024 23:46:42] !withdraw 200022400
[31/12/2024 23:46:44] !withdraw 200022400
[31/12/2024 23:46:45] !withdraw 20002240]
[31/12/2024 23:46:47] !withdraw 2000224
[31/12/2024 23:46:48] !withdraw 2000224
[31/12/2024 23:46:49] !withdraw 2000224
[31/12/2024 23:46:54] !withdraw 2000200
[31/12/2024 23:47:16] !withdraw 2000200
[31/12/2024 23:47:17] !withdraw 2000200
[31/12/2024 23:47:34] !withdraw 180021127
